objectid,filename,title,booktitle,creator,location,date,patterntype,subject,pagenumber,excerpt,rights,format,filesize,filedate,description,latitude,longitude
coll001,Planche23DillmontTh1905.pdf,Planche 23,D.M.C. Point de Croix Nouveaux Dessins (1re Série),"Dillmont, Th.",France,c. 1905,Scene,"People, Flowers",,,"CC Sytske Wijnsma, 2013",application/pdf,722 KB,2026-04-02,Two cross stitch patterns. The first pattern depicts five children holding hands. The second pattern depicts two girls sitting and facing each other with each holding a flower.,46.23,2.21
coll002,Planche20DillmontTh1905.pdf,Planche 20,D.M.C. Point de Croix Nouveaux Dessins (1re Série),"Dillmont, Th.",France,c. 1905,Border,Birds,,,"CC Sytske Wijnsma, 2013",application/pdf,707 KB,2026-04-02,Cross stitch pattern depicting four birds sitting on a wire.,46.23,2.21
coll003,Planche16DillmontTh1905.pdf,Planche 15,D.M.C. Point de Croix Nouveaux Dessins (1re Série),"Dillmont, Th.",France,c. 1905,Border,Birds,,,"CC Sytske Wijnsma, 2013",application/pdf,695 KB,2026-04-02,Two cross stitch border patterns. The first pattern depicts birds perched on branches. The second pattern depicts cranes standing on one leg. ,46.23,2.21
coll004,DaintyNymphsDrewJoan1926.pdf,Dainty Nymphs,Portfolio of Designs for Embroidery,"Drew, Joan",United Kingdom,c. 1926,Scene,Mythological Creatures,,,"CC Louise A. Tiemann, 2011",application/pdf,412 KB,2026-04-02,Cross stitch pattern depicting five nymphs holding hands and dancing.,55.38,-3.44
coll005,Plate1MorrisEthelynJones1911.pdf,Plate 1,Priscilla Colored Cross Stitch Book No. 1,"Morris, Ethelyn",United States,c. 1911,"Motif, Border","Flowers, Plants, Stars",,,"CC Judith Adele, 2013",application/pdf,1.21 MB,2026-04-11,"Cross stitch patterns depicting flowers, plants, and stars. Patterns include borders, corners, and motifs.",39.83,-98.58
coll006,PlancheIXDillmontTh1920.pdf,Planche IX,D.M.C. Point de Marque (5me Série),"Dillmont, Th.",France,c. 1920,"Motif, Border",Insects,,,"CC Annick Chartier, 2008",application/pdf,539 KB,2026-04-14,"Six cross stitch patterns depicting different insects including bees, dragonflies, grasshoppers, and beetles.",46.23,2.21
coll007,PlancheXDillmontTh1920.pdf,Planche X,D.M.C. Point de Marque (5me Série),"Dillmont, Th.",France,c. 1920,"Motif, Border","Birds, Water",,,"CC Annick Chartier, 2008",application/pdf,504 KB,2026-04-14,"Six cross stitch patterns depicting different birds including pelicans, flamingoes, cranes, swans, and ducks.",46.23,2.21
coll008,PlancheXIDillmontTh1920.pdf,Planche XI,D.M.C. Point de Marque (5me Série),"Dillmont, Th.",France,c. 1920,"Motif, Border","Fish, Water",,,"CC Annick Chartier, 2008",application/pdf,627 KB,2026-04-14,"Five cross stitch patterns depicting different fish including pufferfish, goldfish, and various tropical fishes. ",46.23,2.21
coll009,PlancheXIIDillmontTh1920.pdf,Planche XII,D.M.C. Point de Marque (5me Série),"Dillmont, Th.",France,c. 1920,"Scene, Border",Animals,,,"CC Annick Chartier, 2008",application/pdf,571 KB,2026-04-14,"Four cross stitch patterns depicting arctic and antarctic animals including penguins, polar bears, walruses, and seals.",46.23,2.21
coll010,PlancheXVIDillmontTh1920.pdf,Planche XVI,D.M.C. Point de Marque (5me Série),"Dillmont, Th.",France,c. 1920,Scene,Birds,,,"CC Annick Chartier, 2008",application/pdf,474 KB,2026-04-14,Cross stitch pattern depicting various kinds of poultry eating by a puddle. ,46.23,2.21
coll011,TigerUnknown1812.pdf,Tiger,N/A,Unknown,Unknown,c. 1812,Motif,Animals,,,"CC eBay Seller perryjoyce, 2019",application/pdf,2.34 MB,2026-04-14,Cross stitch pattern depicting a crouching tiger.,,
coll012,FlowerBouquetGluehrLouisUnknown.pdf,Flower Bouquet,N/A,"Gluehr, Louis",Germany,Unknown,Motif,Flowers,,,"CC Mark van der Voort, 2020",application/pdf,4.69 MB,2026-04-14,"Cross stitch pattern depicting a bouquet of flowers with bluebells, white marguerites, and a red and pink flower, possibly a rose.",51.17,10.45
coll013,FlowerBasketinBlueRibbonsKuehnHeinrichUnknown.pdf,Flower Basket in Blue Ribbons,N/A,"Kuehn, Heinrich",Germany,Unknown,Motif,Flowers,,,"CC eBay Seller birdsinhand, 2020",application/pdf,3.90 MB,2026-04-14,Cross stitch pattern depicting a flower basket suspended on blue ribbons with a garland of yellow flowers underneath.,51.17,10.45
coll014,RoseBouquetGluehrLouisUnknown.pdf,Rose Bouquet,N/A,"Gluehr, Louis",Germany,Unknown,Motif,Flowers,,,"CC Textile Research Center in Leyden, 2019",application/pdf,5.80 MB,2026-04-14,Cross stitch pattern depicting a bouquet of roses. ,51.17,10.45
coll015,FourDeerKuehnHeinrichUnknown.pdf,Four Deer,N/A,"Kuehn, Heinrich",Germany,Unknown,Scene,Animals,,,"CC Jackie Isler, 2024",application/pdf,7.54 MB,2026-04-14,"Cross stitch pattern depicting four deer, a buck, doe, and two juveniles, by the shore of a body of water. ",51.17,10.45
